bidprice,clicks,CTR,cost,avg CPM,eCPC
139,58,0.05217751149254671,6250.0810000016045,56.22649538050544,107.76001724140697
140,59,0.05342605923953891,6250.055000001648,56.595899776349896,105.93313559324828
141,58,0.052665032234631794,6250.112000001608,56.752129301748916,107.76055172416565
142,58,0.05291439727764549,6250.018000001535,57.01998886974424,107.75893103450923
143,58,0.053055250640321995,6250.056000001538,57.17211855105688,107.75958620692307
144,58,0.05318563621024833,6250.023000001533,57.312318893752824,107.75901724140573
145,58,0.053271122459288923,6250.014000001537,57.40435537350898,107.75886206899202
146,58,0.05343405960661477,6250.043000001501,57.580201759652695,107.75936206899141
147,58,0.05357423264148677,6250.01200000148,57.73096498278679,107.75882758623241
148,57,0.053193971349913674,6250.030000001486,58.3270029396807,109.64964912283308
149,55,0.05150102065659119,6250.04100000149,58.52427102647611,113.63710909093618
150,55,0.05177396428537809,6250.023000001438,58.83426683361201,113.63678181820796
151,56,0.05302578378736661,6250.01900000138,59.180742171608294,111.60748214288178
152,56,0.05312891351371865,6250.004000001383,59.295700352940905,111.60721428573899
153,57,0.054223228470048804,6250.047000001381,59.45574147888035,109.64994736844528
154,58,0.05528179418016146,6250.009000001399,59.570984683143806,107.75877586209309
155,58,0.05537997345580582,6250.037000001391,59.67704882032436,107.75925862071364
156,57,0.05455955127162042,6250.001000001384,59.82407894864113,109.64914035090148
157,58,0.055749396849197885,6250.030000001411,60.0750694464605,107.75913793105882
158,58,0.05589014695254156,6250.010000001424,60.226547819816176,107.75879310347283
159,57,0.05502992855763661,6250.042000001408,60.34023942847469,109.64985964914752
160,57,0.05593060679802182,6250.016000001297,61.327576732880296,109.64940350879468
161,56,0.05504334663547544,6250.028000001293,61.43258172955329,111.60764285716594
162,56,0.05530044931615069,6250.094000001307,61.720179726473184,111.60882142859477
163,57,0.0563943249500366,6250.007000001296,61.835951876855525,109.64924561405782
164,57,0.05646918961759462,6250.119000001288,61.919149990105886,109.65121052633839
165,57,0.05660489781326342,6250.012000001285,62.066893086270674,109.64933333335587
166,57,0.05709134615384616,6250.077000001354,62.60093149039818,109.65047368423427
167,57,0.0572818265868071,6250.001000001378,62.80903042972805,109.64914035090138
168,57,0.057492132655531346,6250.001000001354,63.03962922618973,109.64914035090095
169,58,0.05866111071778948,6250.018000001349,63.212585842458,107.75893103450602
170,58,0.05874786026112411,6250.024000001349,63.30612699668124,107.75903448278189
171,59,0.05985836901162673,6250.113000001357,63.41043564719434,105.9341186440908
172,59,0.059967272098956165,6250.004000001339,63.52469330299063,105.93227118646337
173,59,0.06008942120647336,6250.025000001329,63.65430250441839,105.9326271186666
174,59,0.06023911867106378,6250.06100000133,63.81324852211318,105.93323728815814
175,58,0.05933382437187986,6250.04400000135,63.937760864241646,107.75937931036809
176,58,0.059411011523687586,6250.063000001349,64.02113188221612,107.75970689657498
177,59,0.060903854491401205,6250.019000001306,64.51699114314786,105.93252542375096
178,59,0.06099830445391009,6250.012000001291,64.61697200282548,105.9324067796829
179,59,0.0611025383444319,6250.097000001282,64.72826976254188,105.93384745764885
180,59,0.06172258314241178,6250.016000001295,65.38425969516676,105.93247457629313
181,59,0.06185653477595353,6250.02800000129,65.52628378521408,105.93267796612356
182,57,0.05996717586163363,6250.023000001241,65.75372427725078,109.64952631581124
183,57,0.06004234565430356,6250.005000001238,65.83595799143858,109.64921052633751
184,57,0.06013355980124276,6250.005000001243,65.9359735834458,109.6492105263376
185,58,0.06129134523935326,6250.034000001246,66.04706752616767,107.7592068965732
186,59,0.06244707874682472,6250.087000001227,66.15248729891222,105.9336779661225
187,59,0.06254969520275643,6250.036000001216,66.26065200107305,105.93281355934265
188,59,0.06266662418081977,6250.036000001217,66.38451815740174,105.93281355934266
189,59,0.06275861335375647,6250.047000001224,66.48208188404786,105.93300000002074
190,59,0.06284953395472703,6250.003000001207,66.57792809588503,105.93225423730858
191,59,0.06297296431887801,6250.057000001198,66.70925702576766,105.93316949154573
192,59,0.06317592890031053,6250.07300000119,66.92443516437724,105.93344067798627
193,59,0.06327281306637211,6250.145000001189,67.02784003776195,105.9346610169693
194,59,0.06336046736398977,6250.022000001201,67.11937541615157,105.9325762712068
195,59,0.06345450634545063,6250.029000001194,67.2190686169197,105.93269491527447
196,59,0.06354403386143093,6250.051000001193,67.3141444711434,105.93306779663038
