,lower_bound,upper_bound,clicks,CTR,cost,avg CPM,eCPC
67,61,113,73,0.05322600637253829,6250.043000002537,45.57052445846211,85.61702739729503
68,61,112,69,0.050187658200226935,6250.018000002553,45.459966250636825,90.57997101452975
69,61,111,68,0.04930966469428008,6250.064000002568,45.3218470820467,91.9127058823907
70,61,110,66,0.04775618297853866,6250.017000002586,45.22378113198497,94.69722727276645
71,61,109,70,0.05044063497553629,6250.013000002615,45.0363749036412,89.28590000003736
72,61,108,70,0.05022601707684581,6250.02400000262,44.84483030783253,89.28605714289456
73,61,107,65,0.04649466026709394,6250.048000002601,44.706747448177055,96.15458461542462
74,61,106,68,0.048472406369844456,6250.062000002616,44.552286044242585,91.9126764706267
75,61,105,64,0.04545971133083305,6250.069000002646,44.39473945904823,97.65732812504135
76,61,104,70,0.04951300423689851,6250.018000002651,44.20816681640331,89.2859714286093
