lambda,c,clicks,CTR,cost,avg CPM,eCPC
7.000000000000001e-05,1200,166,0.1295377220089272,6237.007000002492,48.670342104461184,37.57233132531621
7.000000000000001e-05,1210,166,0.1295175082703951,6239.2480000024925,48.680232195263194,37.58583132531622
7.000000000000001e-05,1220,166,0.1294942702685836,6241.83400000249,48.69167102216607,37.601409638569216
7.000000000000001e-05,1230,166,0.12947810961959955,6243.31900000249,48.69717722123199,37.61035542170175
7.000000000000001e-05,1240,166,0.12946094334913902,6245.145000002491,48.70496162966754,37.62135542170175
7.000000000000001e-05,1250,166,0.12944680983795756,6246.81700000249,48.7126826681833,37.631427710858375
7.000000000000001e-05,1260,166,0.12942359719634183,6248.977000002489,48.720788080573904,37.64443975905114
7.000000000000001e-05,1270,166,0.1294114895574283,6249.866000002489,48.72316075871375,37.64979518073789
7.000000000000001e-05,1280,166,0.12941956106498265,6250.097000002486,48.728000623728114,37.65118674700293
7.000000000000001e-05,1290,166,0.1294387349313039,6250.011000002488,48.73454922572625,37.650668674713785
7.000000000000001e-05,1300,166,0.12945185716625207,6250.133000002486,48.74044122809641,37.65140361447281
7.000000000000001e-05,1310,166,0.1294629626741121,6250.0620000024865,48.744068880554714,37.65097590362944
7.000000000000001e-05,1320,166,0.12948719948829157,6250.062000002486,48.753194277621226,37.65097590362943
7.000000000000001e-05,1330,166,0.12949326010983525,6250.049000002486,48.75537475039383,37.65089759037642
7.000000000000001e-05,1340,166,0.12950033155205368,6250.131000002487,48.75867691229463,37.65139156628004
7.000000000000001e-05,1350,166,0.12952559300873906,6250.02100000248,48.76732990014419,37.65072891567759
7.000000000000001e-05,1360,165,0.1287704374292738,6250.012000002483,48.77677449566849,37.878860606075655
7.000000000000001e-05,1370,165,0.12880461510839103,6250.021000002479,48.789790868162456,37.87891515153017
7.000000000000001e-05,1380,164,0.12803797418941815,6250.050000002484,48.79535003554213,38.110060975624904
7.000000000000001e-05,1390,164,0.12805097053266082,6250.0690000024815,48.80045130161064,38.110176829283425
7.000000000000001e-05,1400,164,0.12806896982570126,6250.028000002478,48.806990691591785,38.1099268292834
7.000000000000001e-05,1410,164,0.1280819724623759,6250.076000002477,48.812320860980115,38.11021951221022
7.000000000000001e-05,1420,164,0.1280919762873634,6250.038000002475,48.81583654216081,38.109987804893144
7.000000000000001e-05,1430,164,0.1281029822999172,6250.039000002477,48.82003874336034,38.10999390245413
7.000000000000001e-05,1440,164,0.12811298940724306,6250.015000002481,48.823664968928554,38.109847560990744
7.000000000000001e-05,1450,164,0.12813000507832337,6250.032000002481,48.83028243292692,38.109951219527325
7.000000000000001e-05,1460,164,0.12814602395705546,6250.083000002487,48.83678572267706,38.11026219513712
7.000000000000001e-05,1470,164,0.1281590422455965,6250.009000002485,48.8411687479681,38.10981097562491
7.000000000000001e-05,1480,164,0.12817406663488368,6250.033000002483,48.8470820861305,38.109957317088316
7.000000000000001e-05,1490,164,0.12817306489933725,6250.245000002482,48.848357196468065,38.11125000001513
7.000000000000001e-05,1500,164,0.12818809257681515,6250.086000002481,48.852841633010634,38.110280487820006
